"tweet_id","topic_id","probability","assigned_at"
"1346736495907008513","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346741866629386245","71","0.0","2026-05-04T10:24:25.877157+00:00"
"1346770935131598848","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346777602350956544","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346786504383848449","60","0.0","2026-05-04T10:24:25.877157+00:00"
"1346795993510141954","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346797288744656898","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346806880430153730","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346808683326533642","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346816117453459458","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1346822063374405634","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346837583200985090","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346849079033257984","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346849714415800326","43","0.0","2026-05-04T10:24:25.877157+00:00"
"1346850210388045826","166","0.0","2026-05-04T10:24:25.877157+00:00"
"1346852802656694273","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346854060633300993","109","0.0","2026-05-04T10:24:25.877157+00:00"
"1346860908123983878","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346874146341474304","83","0.0","2026-05-04T10:24:25.877157+00:00"
"1346880754022813698","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346882142404542464","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346883580937576450","166","0.0","2026-05-04T10:24:25.877157+00:00"
"1346884549708537856","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346885609235873792","154","0.0","2026-05-04T10:24:25.877157+00:00"
"1346886129061126144","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346886869242535939","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346900732507779072","8","0.0","2026-05-04T10:24:25.877157+00:00"
"1346917389158522882","176","0.0","2026-05-04T10:24:25.877157+00:00"
"1346925710695403526","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346937623210848260","157","0.0","2026-05-04T10:24:25.877157+00:00"
"1346938414986248193","210","0.0","2026-05-04T10:24:25.877157+00:00"
"1347008566478204930","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1347030198110224385","49","0.0","2026-05-04T10:24:25.877157+00:00"
"1347037787137175554","36","0.0","2026-05-04T10:24:25.877157+00:00"
"1347038116557844480","147","0.0","2026-05-04T10:24:25.877157+00:00"
"1347038296904519680","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1347043111608975361","220","0.0","2026-05-04T10:24:25.877157+00:00"
"1347044766563913728","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347047597085749248","120","0.0","2026-05-04T10:24:25.877157+00:00"
"1347053453550497793","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1347054540760244224","115","0.0","2026-05-04T10:24:25.877157+00:00"
"1347055162230251520","110","0.0","2026-05-04T10:24:25.877157+00:00"
"1347055878466379777","95","0.0","2026-05-04T10:24:25.877157+00:00"
"1347059918411624448","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347060528586362881","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347062811713806336","25","0.0","2026-05-04T10:24:25.877157+00:00"
"1347063202375495680","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347064715051225089","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1347067195063488514","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1347070267693142016","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1347073088865894400","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1347073091957121025","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347073771530817536","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1347074535892398080","124","0.0","2026-05-04T10:24:25.877157+00:00"
"1347076111214252032","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1347084403202273280","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1347085624709406720","199","0.0","2026-05-04T10:24:25.877157+00:00"
"1347091767007588357","79","0.0","2026-05-04T10:24:25.877157+00:00"
"1347091807566520320","63","0.0","2026-05-04T10:24:25.877157+00:00"
"1347092505553219584","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1347095027898527745","63","0.0","2026-05-04T10:24:25.877157+00:00"
"1347095562693316608","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1347098664372760576","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1347100291942936578","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1347103292313268225","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1347103587634130944","39","0.0","2026-05-04T10:24:25.877157+00:00"
"1347104004438978560","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1347105697553518592","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1347113455749378051","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1347118108801171458","206","0.0","2026-05-04T10:24:25.877157+00:00"
"1347120755495100416","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347123446459682816","194","0.0","2026-05-04T10:24:25.877157+00:00"
"1347125011484729344","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1347125264803885059","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1347126807137550336","21","0.0","2026-05-04T10:24:25.877157+00:00"
"1347127673999515649","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1347142165315674116","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1347142734612721664","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1347148523893006339","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1347153622648426497","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1347155040700674053","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1347155552237977600","85","0.0","2026-05-04T10:24:25.877157+00:00"
"1347159566971260931","130","0.0","2026-05-04T10:24:25.877157+00:00"
